customerID,Contract,MonthlyCharges,tenure,PaymentMethod,TotalCharges
0036-ID,Two year,42.59,48,Mailed check,2044.32
0037-ID,Two year,25.59,8,Bank transfer (automatic),204.72
0038-ID,Month-to-month,93.02,10,Electronic check,930.2
0039-ID,Two year,89.71,5,Electronic check,448.55
0040-ID,Month-to-month,41.82,48,Electronic check,2007.36
0041-ID,Two year,93.56,26,Mailed check,2432.56
0042-ID,Two year,110.49,23,Electronic check,2541.27
0043-ID,Month-to-month,29.11,62,Credit card (automatic),1804.82
0044-ID,Month-to-month,41.63,13,Bank transfer (automatic),541.19
0045-ID,Two year,93.65,9,Bank transfer (automatic),842.85
0046-ID,One year,45.84,20,Electronic check,916.8
0047-ID,Month-to-month,81.03,57,Mailed check,4618.71
0048-ID,One year,26.41,24,Credit card (automatic),633.84
0049-ID,One year,63.7,33,Credit card (automatic),2102.1
0050-ID,One year,92.53,20,Bank transfer (automatic),1850.6
0051-ID,Month-to-month,87.24,60,Bank transfer (automatic),5234.4
0052-ID,One year,100.16,48,Credit card (automatic),4807.68
0053-ID,Month-to-month,106.43,64,Bank transfer (automatic),6811.52
0054-ID,One year,95.95,30,Electronic check,2878.5
0055-ID,Two year,85.74,17,Credit card (automatic),1457.58
0056-ID,Two year,21.44,14,Bank transfer (automatic),300.16
0057-ID,Month-to-month,72.01,19,Electronic check,1368.19
0058-ID,Two year,22.04,71,Electronic check,1564.84
0059-ID,Two year,99.46,59,Credit card (automatic),5868.14
0060-ID,One year,50.48,67,Electronic check,3382.16
0061-ID,Month-to-month,74.77,44,Credit card (automatic),3289.88
0062-ID,One year,46.33,32,Electronic check,1482.56
0063-ID,One year,96.89,11,Credit card (automatic),1065.79
0064-ID,One year,107.34,2,Credit card (automatic),214.68
0065-ID,One year,58.31,68,Credit card (automatic),3965.08
0066-ID,One year,104.97,17,Credit card (automatic),1784.49
0067-ID,One year,45.09,40,Electronic check,1803.6
0068-ID,One year,71.98,46,Credit card (automatic),3311.08
0069-ID,Month-to-month,104.56,4,Bank transfer (automatic),418.24
0070-ID,Two year,51.0,38,Electronic check,1938.0
0071-ID,One year,114.13,63,Credit card (automatic),7190.19
0072-ID,One year,30.5,29,Electronic check,884.5
0073-ID,One year,20.09,19,Electronic check,381.71
0074-ID,One year,109.12,29,Electronic check,3164.48
0075-ID,One year,25.15,35,Electronic check,880.25
0076-ID,One year,117.93,70,Credit card (automatic),8255.1
0077-ID,Two year,113.87,23,Electronic check,2619.01
0078-ID,Two year,32.02,46,Bank transfer (automatic),1472.92
0079-ID,One year,72.28,44,Electronic check,3180.32
0080-ID,Two year,36.83,48,Electronic check,1767.84
0081-ID,Month-to-month,61.28,52,Bank transfer (automatic),3186.56
0082-ID,One year,24.42,8,Credit card (automatic),195.36
0083-ID,Month-to-month,40.75,55,Bank transfer (automatic),2241.25
0084-ID,Month-to-month,54.76,66,Mailed check,3614.16
0085-ID,One year,62.33,40,Bank transfer (automatic),2493.2
0086-ID,Two year,116.49,31,Credit card (automatic),3611.19
0087-ID,Month-to-month,99.44,48,Bank transfer (automatic),4773.12
0088-ID,One year,92.36,61,Electronic check,5633.96
0089-ID,Month-to-month,72.22,52,Credit card (automatic),3755.44
0090-ID,Month-to-month,102.67,38,Mailed check,3901.46
0091-ID,Month-to-month,52.35,36,Credit card (automatic),1884.6
0092-ID,Month-to-month,89.49,55,Electronic check,4921.95
0093-ID,Two year,118.13,13,Mailed check,1535.69
0094-ID,Month-to-month,49.87,37,Credit card (automatic),1845.19
0095-ID,Month-to-month,85.99,47,Credit card (automatic),4041.53
0096-ID,Month-to-month,103.1,71,Electronic check,7320.1
0097-ID,Two year,110.29,22,Bank transfer (automatic),2426.38
0098-ID,Month-to-month,90.4,39,Bank transfer (automatic),3525.6
0099-ID,Month-to-month,46.75,58,Mailed check,2711.5
0100-ID,Two year,51.04,30,Electronic check,1531.2
0101-ID,Two year,20.34,18,Electronic check,366.12
0102-ID,Two year,94.72,18,Bank transfer (automatic),1704.96
0103-ID,Month-to-month,22.55,39,Bank transfer (automatic),879.45
0104-ID,Two year,105.15,26,Mailed check,2733.9
0105-ID,Two year,30.18,71,Bank transfer (automatic),2142.78
0106-ID,Month-to-month,35.52,7,Mailed check,248.64
0107-ID,Two year,66.14,69,Credit card (automatic),4563.66
0108-ID,Month-to-month,92.41,65,Mailed check,6006.65
0109-ID,One year,32.22,46,Mailed check,1482.12
0110-ID,Two year,62.48,18,Mailed check,1124.64
0111-ID,One year,66.78,13,Credit card (automatic),868.14
0112-ID,Month-to-month,39.58,25,Bank transfer (automatic),989.5
0113-ID,Two year,29.86,8,Mailed check,238.88
0114-ID,Month-to-month,102.31,32,Bank transfer (automatic),3273.92
0115-ID,One year,68.75,17,Mailed check,1168.75
0116-ID,Month-to-month,19.7,48,Bank transfer (automatic),945.6
0117-ID,Two year,98.95,63,Mailed check,6233.85
0118-ID,Two year,116.82,40,Bank transfer (automatic),4672.8
0119-ID,One year,79.15,15,Electronic check,1187.25
0120-ID,Month-to-month,68.87,6,Credit card (automatic),413.22
0121-ID,Two year,106.53,63,Mailed check,6711.39
0122-ID,One year,113.98,8,Credit card (automatic),911.84
0123-ID,Two year,94.08,32,Mailed check,3010.56
0124-ID,Two year,63.02,45,Electronic check,2835.9
0125-ID,Month-to-month,77.77,52,Electronic check,4044.04
0126-ID,Two year,88.69,13,Credit card (automatic),1152.97
0127-ID,Month-to-month,37.77,24,Mailed check,906.48
0128-ID,Two year,63.19,40,Bank transfer (automatic),2527.6
0129-ID,One year,101.65,14,Mailed check,1423.1
0130-ID,Two year,84.05,70,Bank transfer (automatic),5883.5
0131-ID,Month-to-month,59.58,62,Credit card (automatic),3693.96
0132-ID,Month-to-month,84.92,61,Credit card (automatic),5180.12
0133-ID,One year,30.13,1,Electronic check,30.13
0134-ID,Two year,58.6,66,Bank transfer (automatic),3867.6
0135-ID,Two year,97.96,32,Mailed check,3134.72
0136-ID,One year,40.41,13,Electronic check,525.33
0137-ID,Two year,36.94,33,Credit card (automatic),1219.02
0138-ID,Two year,113.81,32,Electronic check,3641.92
0139-ID,Month-to-month,39.34,56,Mailed check,2203.04
0140-ID,Two year,44.47,24,Mailed check,1067.28
0141-ID,Two year,115.7,4,Credit card (automatic),462.8
0142-ID,One year,92.09,23,Electronic check,2118.07
0143-ID,One year,88.56,29,Bank transfer (automatic),2568.24
0144-ID,Month-to-month,103.97,21,Bank transfer (automatic),2183.37
0145-ID,Two year,29.89,30,Bank transfer (automatic),896.7
0146-ID,Two year,89.2,20,Mailed check,1784.0
0147-ID,Two year,68.87,16,Electronic check,1101.92
0148-ID,Month-to-month,101.58,67,Bank transfer (automatic),6805.86
0149-ID,Month-to-month,69.32,49,Electronic check,3396.68
0150-ID,One year,80.58,58,Credit card (automatic),4673.64
0151-ID,Month-to-month,66.26,44,Bank transfer (automatic),2915.44
0152-ID,Two year,66.3,25,Electronic check,1657.5
0153-ID,Two year,95.43,23,Mailed check,2194.89
0154-ID,Month-to-month,81.42,59,Credit card (automatic),4803.78
0155-ID,Two year,81.89,1,Credit card (automatic),81.89
0156-ID,Two year,63.5,15,Credit card (automatic),952.5
0157-ID,Month-to-month,71.63,52,Credit card (automatic),3724.76
0158-ID,Month-to-month,93.19,58,Mailed check,5405.02
0159-ID,Two year,101.26,41,Mailed check,4151.66
0160-ID,Two year,88.25,44,Bank transfer (automatic),3883.0
0161-ID,Two year,111.12,4,Mailed check,444.48
0162-ID,One year,100.69,68,Mailed check,6846.92
0163-ID,One year,74.72,7,Credit card (automatic),523.04
0164-ID,One year,85.73,46,Mailed check,3943.58
0165-ID,Month-to-month,111.34,9,Credit card (automatic),1002.06
0166-ID,One year,80.48,33,Electronic check,2655.84
0167-ID,Month-to-month,101.14,33,Electronic check,3337.62
0168-ID,Month-to-month,87.48,4,Electronic check,349.92
0169-ID,One year,73.72,65,Electronic check,4791.8
0170-ID,One year,42.55,34,Electronic check,1446.7
0171-ID,One year,61.06,64,Electronic check,3907.84
0172-ID,Two year,115.51,25,Electronic check,2887.75
0173-ID,One year,84.36,55,Credit card (automatic),4639.8
0174-ID,Two year,74.97,9,Credit card (automatic),674.73
0175-ID,Month-to-month,112.01,17,Credit card (automatic),1904.17
0176-ID,Two year,77.19,21,Credit card (automatic),1620.99
0177-ID,One year,71.12,60,Mailed check,4267.2
0178-ID,Month-to-month,94.56,13,Mailed check,1229.28
0179-ID,Month-to-month,89.87,3,Bank transfer (automatic),269.61
0180-ID,Month-to-month,37.66,68,Mailed check,2560.88
0181-ID,Two year,65.62,4,Credit card (automatic),262.48
0182-ID,One year,65.74,7,Credit card (automatic),460.18
0183-ID,Month-to-month,56.26,26,Electronic check,1462.76
0184-ID,Month-to-month,70.24,24,Electronic check,1685.76
0185-ID,Month-to-month,59.77,10,Bank transfer (automatic),597.7
0186-ID,Two year,38.28,13,Mailed check,497.64
0187-ID,Two year,59.69,44,Credit card (automatic),2626.36
0188-ID,One year,25.51,39,Mailed check,994.89
0189-ID,Two year,76.12,19,Bank transfer (automatic),1446.28
0190-ID,Month-to-month,104.04,51,Electronic check,5306.04
0191-ID,One year,91.14,19,Credit card (automatic),1731.66
0192-ID,Month-to-month,54.47,52,Electronic check,2832.44
0193-ID,Month-to-month,27.0,47,Credit card (automatic),1269.0
0194-ID,Two year,38.57,30,Electronic check,1157.1
0195-ID,One year,73.07,46,Electronic check,3361.22
0196-ID,Two year,39.06,21,Bank transfer (automatic),820.26
0197-ID,Two year,72.92,48,Mailed check,3500.16
0198-ID,One year,41.53,62,Electronic check,2574.86
0199-ID,Month-to-month,103.57,58,Credit card (automatic),6007.06
0200-ID,Month-to-month,58.18,18,Mailed check,1047.24
0201-ID,One year,42.93,59,Mailed check,2532.87
0202-ID,Month-to-month,99.89,48,Electronic check,4794.72
0203-ID,One year,52.71,63,Electronic check,3320.73
0204-ID,One year,29.45,12,Electronic check,353.4
0205-ID,Two year,75.58,34,Mailed check,2569.72
0206-ID,One year,76.7,61,Bank transfer (automatic),4678.7
0207-ID,Two year,90.08,53,Electronic check,4774.24
0208-ID,Month-to-month,42.39,25,Mailed check,1059.75
0209-ID,Month-to-month,62.85,62,Mailed check,3896.7
0210-ID,Month-to-month,46.63,4,Credit card (automatic),186.52
0211-ID,Month-to-month,26.39,13,Electronic check,343.07
0212-ID,Two year,106.35,42,Bank transfer (automatic),4466.7
0213-ID,Month-to-month,91.5,49,Credit card (automatic),4483.5
0214-ID,One year,48.55,56,Electronic check,2718.8
0215-ID,One year,78.49,47,Credit card (automatic),3689.03
0216-ID,One year,38.48,8,Electronic check,307.84
0217-ID,Two year,107.72,55,Credit card (automatic),5924.6
0218-ID,Month-to-month,29.8,18,Bank transfer (automatic),536.4
0219-ID,Month-to-month,18.64,35,Credit card (automatic),652.4
0220-ID,Month-to-month,68.7,32,Credit card (automatic),2198.4
0221-ID,Two year,76.85,24,Credit card (automatic),1844.4
0222-ID,One year,76.44,7,Electronic check,535.08
0223-ID,One year,23.73,13,Electronic check,308.49
0224-ID,Month-to-month,49.81,69,Bank transfer (automatic),3436.89
0225-ID,One year,68.42,42,Credit card (automatic),2873.64
0226-ID,One year,40.02,31,Mailed check,1240.62
0227-ID,Two year,105.95,26,Credit card (automatic),2754.7
0228-ID,Two year,27.0,32,Mailed check,864.0
0229-ID,Two year,67.23,52,Mailed check,3495.96
0230-ID,Two year,87.74,20,Credit card (automatic),1754.8
0231-ID,Month-to-month,44.56,40,Mailed check,1782.4
0232-ID,Two year,80.99,59,Mailed check,4778.41
0233-ID,One year,101.6,14,Credit card (automatic),1422.4
0234-ID,Month-to-month,37.38,44,Electronic check,1644.72
0235-ID,One year,110.43,48,Credit card (automatic),5300.64
0236-ID,One year,73.88,43,Bank transfer (automatic),3176.84
0237-ID,One year,48.32,16,Mailed check,773.12
0238-ID,Two year,61.55,35,Bank transfer (automatic),2154.25
0239-ID,Two year,49.63,53,Mailed check,2630.39
0240-ID,Month-to-month,91.12,34,Electronic check,3098.08
0241-ID,Month-to-month,98.28,3,Mailed check,294.84
0242-ID,Two year,101.96,68,Credit card (automatic),6933.28
0243-ID,One year,117.32,5,Mailed check,586.6
0244-ID,Month-to-month,97.77,10,Bank transfer (automatic),977.7
0245-ID,Two year,78.69,52,Credit card (automatic),4091.88
0246-ID,Two year,52.34,29,Bank transfer (automatic),1517.86
0247-ID,Two year,72.98,31,Electronic check,2262.38
0248-ID,One year,22.38,66,Bank transfer (automatic),1477.08
0249-ID,Two year,93.1,69,Bank transfer (automatic),6423.9
0250-ID,Two year,63.07,37,Bank transfer (automatic),2333.59
0251-ID,Two year,20.26,27,Credit card (automatic),547.02
0252-ID,Two year,24.53,33,Electronic check,809.49
0253-ID,Month-to-month,57.19,68,Electronic check,3888.92
0254-ID,Month-to-month,76.88,59,Electronic check,4535.92
0255-ID,Two year,64.9,64,Bank transfer (automatic),4153.6
0256-ID,One year,80.48,44,Credit card (automatic),3541.12
0257-ID,Month-to-month,66.52,49,Credit card (automatic),3259.48
0258-ID,Two year,84.75,53,Credit card (automatic),4491.75
0259-ID,Month-to-month,40.27,49,Bank transfer (automatic),1973.23
0260-ID,Month-to-month,29.59,66,Electronic check,1952.94
0261-ID,One year,78.19,63,Bank transfer (automatic),4925.97
0262-ID,Two year,66.96,25,Credit card (automatic),1674.0
0263-ID,Two year,20.95,4,Bank transfer (automatic),83.8
0264-ID,One year,56.49,51,Mailed check,2880.99
0265-ID,One year,28.92,11,Electronic check,318.12
0266-ID,Two year,71.65,17,Electronic check,1218.05
0267-ID,Two year,58.03,66,Credit card (automatic),3829.98
0268-ID,One year,79.87,70,Bank transfer (automatic),5590.9
0269-ID,Month-to-month,99.21,69,Credit card (automatic),6845.49
0270-ID,Month-to-month,48.37,29,Bank transfer (automatic),1402.73
0271-ID,One year,114.94,20,Mailed check,2298.8
0272-ID,Month-to-month,72.08,27,Electronic check,1946.16
0273-ID,One year,80.39,8,Electronic check,643.12
0274-ID,Month-to-month,86.66,61,Bank transfer (automatic),5286.26
0275-ID,Month-to-month,85.26,28,Electronic check,2387.28
0276-ID,Two year,69.6,70,Bank transfer (automatic),4872.0
0277-ID,Two year,61.34,3,Credit card (automatic),184.02
0278-ID,Month-to-month,23.66,69,Mailed check,1632.54
0279-ID,Month-to-month,20.47,7,Bank transfer (automatic),143.29
0280-ID,Two year,54.23,60,Mailed check,3253.8
0281-ID,Two year,51.78,4,Credit card (automatic),207.12
0282-ID,Two year,57.21,5,Credit card (automatic),286.05
0283-ID,One year,32.16,11,Credit card (automatic),353.76
0284-ID,Month-to-month,92.44,15,Bank transfer (automatic),1386.6
0285-ID,Two year,104.37,64,Mailed check,6679.68
0286-ID,Month-to-month,112.59,13,Mailed check,1463.67
0287-ID,One year,67.73,7,Electronic check,474.11
0288-ID,One year,88.69,6,Bank transfer (automatic),532.14
0289-ID,Two year,104.23,56,Electronic check,5836.88
0290-ID,One year,60.29,64,Electronic check,3858.56
0291-ID,Month-to-month,49.35,50,Bank transfer (automatic),2467.5
0292-ID,Two year,112.39,30,Electronic check,3371.7
0293-ID,Month-to-month,70.08,22,Electronic check,1541.76
0294-ID,Month-to-month,68.22,25,Electronic check,1705.5
0295-ID,One year,36.18,28,Credit card (automatic),1013.04
0296-ID,One year,29.12,39,Bank transfer (automatic),1135.68
0297-ID,One year,102.88,67,Credit card (automatic),6892.96
0298-ID,One year,79.97,5,Electronic check,399.85
0299-ID,One year,51.0,65,Electronic check,3315.0
0300-ID,Two year,37.52,15,Credit card (automatic),562.8
0301-ID,Month-to-month,74.08,67,Electronic check,4963.36
0302-ID,Month-to-month,76.93,40,Bank transfer (automatic),3077.2
0303-ID,Month-to-month,39.05,69,Mailed check,2694.45
0304-ID,Month-to-month,103.82,43,Credit card (automatic),4464.26
0305-ID,One year,26.72,1,Mailed check,26.72
0306-ID,Month-to-month,54.04,22,Mailed check,1188.88
0307-ID,Two year,86.63,62,Mailed check,5371.06
0308-ID,Two year,45.8,26,Credit card (automatic),1190.8
0309-ID,Month-to-month,101.43,18,Electronic check,1825.74
0310-ID,Month-to-month,92.61,48,Bank transfer (automatic),4445.28
0311-ID,Two year,97.55,9,Electronic check,877.95
0312-ID,Two year,30.22,1,Bank transfer (automatic),30.22
0313-ID,One year,32.37,9,Electronic check,291.33
0314-ID,Two year,47.04,23,Mailed check,1081.92
0315-ID,One year,70.32,45,Mailed check,3164.4
0316-ID,One year,93.43,2,Bank transfer (automatic),186.86
0317-ID,One year,102.32,14,Credit card (automatic),1432.48
0318-ID,One year,89.04,38,Electronic check,3383.52
0319-ID,One year,111.57,40,Mailed check,4462.8
0320-ID,Month-to-month,92.49,63,Bank transfer (automatic),5826.87
0321-ID,Two year,49.03,16,Electronic check,784.48
0322-ID,One year,44.89,6,Bank transfer (automatic),269.34
0323-ID,Two year,88.22,3,Credit card (automatic),264.66
0324-ID,Two year,37.63,14,Credit card (automatic),526.82
0325-ID,One year,27.57,66,Electronic check,1819.62
0326-ID,Month-to-month,71.74,67,Credit card (automatic),4806.58
0327-ID,One year,100.82,31,Electronic check,3125.42
0328-ID,Month-to-month,28.44,33,Electronic check,938.52
0329-ID,Two year,97.84,1,Credit card (automatic),97.84
0330-ID,Month-to-month,99.81,44,Bank transfer (automatic),4391.64
0331-ID,Month-to-month,66.72,15,Bank transfer (automatic),1000.8
0332-ID,Month-to-month,24.01,37,Electronic check,888.37
0333-ID,Two year,35.8,27,Mailed check,966.6
0334-ID,Two year,89.35,48,Electronic check,4288.8
0335-ID,Month-to-month,89.78,27,Bank transfer (automatic),2424.06
0336-ID,Month-to-month,108.53,12,Electronic check,1302.36
0337-ID,One year,76.81,67,Bank transfer (automatic),5146.27
0338-ID,Month-to-month,30.72,30,Credit card (automatic),921.6
0339-ID,One year,30.45,66,Electronic check,2009.7
0340-ID,Month-to-month,90.72,7,Electronic check,635.04
0341-ID,One year,36.72,34,Credit card (automatic),1248.48
0342-ID,Two year,51.25,32,Credit card (automatic),1640.0
0343-ID,Month-to-month,67.21,39,Mailed check,2621.19
0344-ID,Month-to-month,20.74,43,Credit card (automatic),891.82
0345-ID,Month-to-month,43.26,43,Mailed check,1860.18
0346-ID,Month-to-month,59.24,3,Credit card (automatic),177.72
0347-ID,One year,46.35,46,Bank transfer (automatic),2132.1
0348-ID,Month-to-month,31.96,32,Electronic check,1022.72
0349-ID,Two year,91.42,43,Credit card (automatic),3931.06
0350-ID,Two year,99.97,3,Bank transfer (automatic),299.91
0351-ID,Month-to-month,44.13,63,Credit card (automatic),2780.19
0352-ID,Two year,96.08,40,Electronic check,3843.2
0353-ID,Month-to-month,57.0,18,Credit card (automatic),1026.0
0354-ID,Month-to-month,69.17,67,Credit card (automatic),4634.39
0355-ID,Two year,104.28,62,Electronic check,6465.36
0356-ID,Month-to-month,93.62,10,Credit card (automatic),936.2
0357-ID,Two year,99.16,52,Electronic check,5156.32
0358-ID,One year,32.0,46,Mailed check,1472.0
0359-ID,Month-to-month,25.26,55,Credit card (automatic),1389.3
0360-ID,One year,108.04,46,Bank transfer (automatic),4969.84
0361-ID,Two year,57.23,60,Credit card (automatic),3433.8
0362-ID,One year,47.18,26,Electronic check,1226.68
0363-ID,One year,91.08,27,Electronic check,2459.16
0364-ID,Two year,102.31,38,Bank transfer (automatic),3887.78
0365-ID,One year,104.93,22,Bank transfer (automatic),2308.46
0366-ID,One year,50.01,26,Electronic check,1300.26
0367-ID,Two year,103.9,69,Mailed check,7169.1
0368-ID,One year,22.36,35,Mailed check,782.6
0369-ID,Two year,23.24,66,Electronic check,1533.84
0370-ID,One year,80.91,51,Mailed check,4126.41
0371-ID,Two year,24.59,18,Bank transfer (automatic),442.62
0372-ID,Two year,50.87,43,Mailed check,2187.41
0373-ID,One year,85.86,12,Bank transfer (automatic),1030.32
0374-ID,One year,52.15,3,Credit card (automatic),156.45
0375-ID,One year,36.3,7,Bank transfer (automatic),254.1
0376-ID,Month-to-month,46.53,6,Credit card (automatic),279.18
0377-ID,Month-to-month,64.24,45,Bank transfer (automatic),2890.8
0378-ID,Month-to-month,66.03,39,Bank transfer (automatic),2575.17
0379-ID,Two year,96.94,51,Mailed check,4943.94
0380-ID,One year,93.64,9,Bank transfer (automatic),842.76
0381-ID,Two year,64.16,23,Electronic check,1475.68
0382-ID,Month-to-month,103.24,12,Credit card (automatic),1238.88
0383-ID,One year,29.73,62,Credit card (automatic),1843.26
0384-ID,Two year,43.91,40,Bank transfer (automatic),1756.4
0385-ID,One year,101.46,54,Electronic check,5478.84
0386-ID,Two year,56.24,7,Bank transfer (automatic),393.68
0387-ID,One year,116.86,17,Bank transfer (automatic),1986.62
0388-ID,Month-to-month,65.11,50,Mailed check,3255.5
0389-ID,Month-to-month,97.84,24,Bank transfer (automatic),2348.16
0390-ID,One year,58.68,2,Bank transfer (automatic),117.36
0391-ID,Two year,60.96,33,Mailed check,2011.68
0392-ID,Month-to-month,56.73,21,Mailed check,1191.33
0393-ID,Month-to-month,90.52,53,Electronic check,4797.56
0394-ID,Month-to-month,73.28,46,Mailed check,3370.88
0395-ID,One year,113.1,45,Credit card (automatic),5089.5
0396-ID,One year,43.46,9,Credit card (automatic),391.14
0397-ID,Two year,28.36,6,Electronic check,170.16
0398-ID,Two year,57.77,51,Bank transfer (automatic),2946.27
0399-ID,Two year,80.23,35,Electronic check,2808.05
0400-ID,One year,104.76,53,Mailed check,5552.28
0401-ID,One year,53.04,19,Bank transfer (automatic),1007.76
0402-ID,Two year,83.96,69,Electronic check,5793.24
0403-ID,Two year,53.44,25,Electronic check,1336.0
0404-ID,One year,80.28,11,Credit card (automatic),883.08
0405-ID,Two year,107.17,17,Electronic check,1821.89
0406-ID,Month-to-month,41.5,36,Bank transfer (automatic),1494.0
0407-ID,One year,58.88,21,Electronic check,1236.48
0408-ID,Two year,118.07,18,Electronic check,2125.26
0409-ID,One year,105.54,60,Mailed check,6332.4
0410-ID,Month-to-month,75.0,18,Electronic check,1350.0
0411-ID,One year,70.17,1,Bank transfer (automatic),70.17
0412-ID,One year,46.85,14,Credit card (automatic),655.9
0413-ID,One year,70.23,8,Credit card (automatic),561.84
0414-ID,One year,103.49,66,Credit card (automatic),6830.34
0415-ID,Month-to-month,87.11,51,Credit card (automatic),4442.61
0416-ID,One year,47.4,60,Mailed check,2844.0
0417-ID,One year,38.5,34,Bank transfer (automatic),1309.0
0418-ID,Two year,44.9,36,Mailed check,1616.4
0419-ID,One year,35.31,62,Credit card (automatic),2189.22
0420-ID,Two year,27.86,1,Mailed check,27.86
0421-ID,Month-to-month,60.37,42,Electronic check,2535.54
0422-ID,Month-to-month,29.64,1,Bank transfer (automatic),29.64
0423-ID,Month-to-month,35.53,54,Electronic check,1918.62
0424-ID,Month-to-month,73.26,47,Mailed check,3443.22
0425-ID,Two year,34.79,39,Electronic check,1356.81
0426-ID,One year,24.67,30,Mailed check,740.1
0427-ID,Month-to-month,50.15,7,Mailed check,351.05
0428-ID,One year,40.39,22,Bank transfer (automatic),888.58
0429-ID,Two year,70.04,50,Bank transfer (automatic),3502.0
0430-ID,Two year,28.54,45,Bank transfer (automatic),1284.3
0431-ID,Two year,93.8,10,Credit card (automatic),938.0
0432-ID,Month-to-month,109.33,14,Bank transfer (automatic),1530.62
0433-ID,One year,92.97,46,Electronic check,4276.62
0434-ID,One year,71.8,6,Bank transfer (automatic),430.8
0435-ID,One year,104.75,21,Bank transfer (automatic),2199.75
0436-ID,Two year,88.09,62,Bank transfer (automatic),5461.58
0437-ID,Month-to-month,19.31,19,Mailed check,366.89
0438-ID,Two year,57.86,62,Mailed check,3587.32
0439-ID,Two year,103.77,53,Bank transfer (automatic),5499.81
0440-ID,One year,53.01,24,Mailed check,1272.24
0441-ID,Two year,21.79,56,Mailed check,1220.24
0442-ID,One year,93.24,62,Credit card (automatic),5780.88
0443-ID,Month-to-month,98.85,34,Electronic check,3360.9
0444-ID,One year,34.39,22,Mailed check,756.58
0445-ID,Month-to-month,72.25,68,Electronic check,4913.0
0446-ID,One year,37.54,57,Mailed check,2139.78
0447-ID,Two year,90.53,10,Bank transfer (automatic),905.3
0448-ID,Two year,45.54,66,Mailed check,3005.64
0449-ID,Month-to-month,50.03,8,Mailed check,400.24
0450-ID,Month-to-month,103.17,38,Electronic check,3920.46
0451-ID,Month-to-month,66.12,62,Bank transfer (automatic),4099.44
0452-ID,One year,85.56,28,Credit card (automatic),2395.68
0453-ID,One year,58.69,10,Electronic check,586.9
0454-ID,Month-to-month,48.2,45,Bank transfer (automatic),2169.0
0455-ID,Two year,81.11,65,Bank transfer (automatic),5272.15
0456-ID,One year,33.81,67,Electronic check,2265.27
0457-ID,One year,55.74,9,Mailed check,501.66
0458-ID,One year,39.26,5,Bank transfer (automatic),196.3
0459-ID,Month-to-month,88.18,10,Credit card (automatic),881.8
0460-ID,Month-to-month,113.14,12,Mailed check,1357.68
0461-ID,Month-to-month,118.3,58,Electronic check,6861.4
0462-ID,Month-to-month,63.5,21,Electronic check,1333.5
0463-ID,Month-to-month,43.63,21,Electronic check,916.23
0464-ID,Two year,62.75,65,Electronic check,4078.75
0465-ID,Two year,103.4,3,Credit card (automatic),310.2
0466-ID,Month-to-month,38.95,69,Credit card (automatic),2687.55
0467-ID,One year,113.94,64,Bank transfer (automatic),7292.16
0468-ID,Month-to-month,52.61,49,Credit card (automatic),2577.89
0469-ID,Two year,117.32,17,Electronic check,1994.44
0470-ID,Two year,102.53,32,Credit card (automatic),3280.96
0471-ID,One year,99.51,70,Mailed check,6965.7
0472-ID,Two year,50.2,21,Mailed check,1054.2
